Tweet,User,User_ID,Geo,HashTag,Date
Final: Isleton Bridge now open.https://twitter.com/CaltransDist3/status/1190285467515637760?s=20 …,CaltransDist3,509080304,,,Fri Nov 01 22:10:30 +0000 2019
"Final Update: Roadway clear , have a safe weekend .",CaltransDist3,509080304,,,Fri Nov 01 19:35:37 +0000 2019
"#TrafficAlert: Lane closures will be extended to 6 pm today in @cityofslt for recessed striping work on Highway 50 ""Y"" to Trout Creek project. @TahoeRoadspic.twitter.com/xNIp9l38nW",CaltransDist3,509080304,,#TrafficAlert,Fri Nov 01 18:19:21 +0000 2019
Traffic Advisory: New on-ramp meters along SR51 (Bus80) and SR99 at 14 Sacramento locations with expanded hours of operation. Mon. 11/04. More info. at http://bit.ly/2PDvgXd @CaltransHQ @CHP_Valley @CHPSouthSac @CHPNSac @TheCityofSac @CityofElkGrove @SacCountyCA @CityofSacPWpic.twitter.com/9jHUAa9D1y,CaltransDist3,509080304,,,Fri Nov 01 16:13:59 +0000 2019
Update: #1 & #2 lanes are open the off ramp remains closed. @CHP_Truckee @TownofTruckee,CaltransDist3,509080304,,#1 #2,Fri Nov 01 16:00:34 +0000 2019
Another reminder that the Isleton Bridge is closed today due to bridge work until 4 p.m. Thank you for your patience.https://twitter.com/CaltransDist3/status/1189945232596463616?s=20 …,CaltransDist3,509080304,,,Fri Nov 01 15:12:24 +0000 2019
@TownofTruckee @CHP_Truckee,CaltransDist3,509080304,,,Fri Nov 01 14:47:39 +0000 2019
Update: I-80 eastbound the #1 lane is open near the Blu Canyon area. Pass the crash with caution.,CaltransDist3,509080304,,#1,Fri Nov 01 14:46:01 +0000 2019
#trafficAlert I-80 eastbound near Blue Canyon lanes blocked due to two big rigs crashing. First responders on scene. No ETO .pic.twitter.com/ol17boG1F3,CaltransDist3,509080304,,#trafficAlert,Fri Nov 01 14:03:23 +0000 2019
Traffic Advisory: New SR51 and 99 Sacramento Area On-ramps to be activated on 11/4. Caltrans Using Anytime Metering Method. @CaltransHQ @CHP_Valley @CHPSouthSac @TheCityofSac @SacCountyCApic.twitter.com/EZQpDiFQc9,CaltransDist3,509080304,,,Fri Nov 01 00:34:59 +0000 2019
Reminder that the SR160 Isleton Bridge will be closed today until 4 p.m. for continued bridge work. Please plan accordingly. @CaltransHQ @CHP_Valley @CHPSouthSac @AsmFrazier @USCG @SacCountyCApic.twitter.com/oIqKi0my6Q,CaltransDist3,509080304,,,Thu Oct 31 16:40:26 +0000 2019
The EB/WB Gold Run Rest Areas have reopened now that power has been restored.https://twitter.com/CaltransDist3/status/1188309703945637888 …,CaltransDist3,509080304,,,Thu Oct 31 14:52:43 +0000 2019
Heads up for California-bound I-80 WB travelers. Follow @NHPNorthernComm for updates to this incident.https://twitter.com/NHPNorthernComm/status/1189662073187291136 …,CaltransDist3,509080304,,,Wed Oct 30 22:13:41 +0000 2019
"580 cleanup is handled by @CaltransD4. I believe they do take everything back to the maintenance yards for a period of time, but I would reach out to them if you've lost something.",CaltransDist3,509080304,,,Wed Oct 30 20:30:23 +0000 2019
The Isleton Bridge on SR160 will remain closed until 4 p.m. for ongoing bridge work. Please plan accordingly. @CaltransD4 @CHP_Valley @CHPSouthSacpic.twitter.com/k80FnDNBtM,CaltransDist3,509080304,,,Wed Oct 30 19:06:50 +0000 2019
